market,model,IC,ICIR,RankIC,RankICIR,AR,STD,MDD,Sharpe,Sortino,Calmar
csi300,master,0.0406 ± 0.0078,0.2200 ± 0.0436,0.0621 ± 0.0079,0.3389 ± 0.0410,0.2135 ± 0.0383,0.1391 ± 0.0121,-0.1060 ± 0.0254,1.3985 ± 0.2736,2.7072 ± 0.5973,2.1200 ± 0.6977
sp500,master,0.0019 ± 0.0047,0.0158 ± 0.0400,0.0036 ± 0.0050,0.0290 ± 0.0416,0.1300 ± 0.0265,0.1677 ± 0.0160,-0.2120 ± 0.0220,0.7243 ± 0.1037,1.0376 ± 0.1601,0.6117 ± 0.1026
