market,model,ensemble_method,IC,ICIR,RankIC,RankICIR,AR,STD,MDD,Sharpe,Sortino,Calmar,num_test_days,seeds,pred_paths
csi300,master,avg_none,0.0443,0.2323,0.0671,0.3553,0.2168,0.1287,-0.0904,1.5252,3.0380,2.3974,727,"0,1,2,3,4","examples/benchmarks/MASTER/paper_baseline/mlruns/224505313702429845/9a76919e448b499dad1efbbb88ed0e44/artifacts/pred.pkl,examples/benchmarks/MASTER/paper_baseline/mlruns/246370288293499140/e4e7469cd27a4a89853fae4b2b30bfc3/artifacts/pred.pkl,examples/benchmarks/MASTER/paper_baseline/mlruns/213605115123889733/59ff028ba7404e178785a75d73216187/artifacts/pred.pkl,examples/benchmarks/MASTER/paper_baseline/mlruns/657018618869078768/fed8fa72cbdb4d1aa72503b6389eccb0/artifacts/pred.pkl,examples/benchmarks/MASTER/paper_baseline/mlruns/692504356880211392/2461fc5711324f92abd4228b2fff0a46/artifacts/pred.pkl"
sp500,master,avg_none,0.0022,0.0170,0.0047,0.0346,0.1245,0.1594,-0.2072,0.7364,1.0675,0.6011,752,"0,1,2,3,4","examples/benchmarks/MASTER/paper_baseline/mlruns/562711993091439480/a542fefde4624372bd498a66df0b8c15/artifacts/pred.pkl,examples/benchmarks/MASTER/paper_baseline/mlruns/228113011200315526/4b07045c0484425380911bfe5a7c561c/artifacts/pred.pkl,examples/benchmarks/MASTER/paper_baseline/mlruns/610202009334159606/cb7baa7d464d4fe3adc4f1c5235d4dab/artifacts/pred.pkl,examples/benchmarks/MASTER/paper_baseline/mlruns/678903798120985225/7c951938b4394558ac68a202c6b16bad/artifacts/pred.pkl,examples/benchmarks/MASTER/paper_baseline/mlruns/511312566299574822/d6f094be7d2847d48ba98198401ce65a/artifacts/pred.pkl"
