market,model,seed,IC,ICIR,RankIC,RankICIR,AR,STD,MDD,Sharpe,Sortino,Calmar,num_test_days,pred_path_or_ckpt_path
csi300,master,0,0.05048475957915314,0.2775144001122891,0.07196115566586035,0.39129731304732424,0.2645706968733774,0.1292861837983336,-0.08778262687875427,1.8156054082778712,3.477701586131745,3.0139300483545974,727,examples/benchmarks/MASTER/paper_baseline/mlruns/224505313702429845/9a76919e448b499dad1efbbb88ed0e44/artifacts/pred.pkl
csi300,master,1,0.046745741330471643,0.25351944842949903,0.0681021253415421,0.3674547479032319,0.19192802957398758,0.12728585923888178,-0.0970592344407073,1.3793534489692751,2.657600894010177,1.9774319329835108,727,examples/benchmarks/MASTER/paper_baseline/mlruns/246370288293499140/e4e7469cd27a4a89853fae4b2b30bfc3/artifacts/pred.pkl
csi300,master,2,0.038776995226317515,0.2063764754837811,0.061556561670566085,0.3375015597546258,0.1912608649313179,0.15905857293863507,-0.14601087269598212,1.1003009352165518,2.0921349839927084,1.3099083746287405,727,examples/benchmarks/MASTER/paper_baseline/mlruns/213605115123889733/59ff028ba7404e178785a75d73216187/artifacts/pred.pkl
csi300,master,3,0.03352153563409367,0.17899250242576928,0.05515116270504563,0.2994107054007689,0.21348974068447957,0.13113780652197352,-0.1162000052449399,1.4755492482470418,2.8868838453204986,1.8372610245108083,727,examples/benchmarks/MASTER/paper_baseline/mlruns/657018618869078768/fed8fa72cbdb4d1aa72503b6389eccb0/artifacts/pred.pkl
csi300,master,4,0.03332143790346615,0.1837316170183147,0.05383678905363163,0.2990100084144783,0.16943126267791175,0.13006197270931255,-0.09442562997073867,1.203407322593444,2.1799454927917052,1.7943355287162648,727,examples/benchmarks/MASTER/paper_baseline/mlruns/692504356880211392/2461fc5711324f92abd4228b2fff0a46/artifacts/pred.pkl
sp500,master,0,0.009860056504267724,0.08429402272623153,0.012202267233480685,0.10063413203118979,0.16213791782935139,0.17281943446993703,-0.22292466524316568,0.8694701605172976,1.2226376024607595,0.7273215714039168,752,examples/benchmarks/MASTER/paper_baseline/mlruns/562711993091439480/a542fefde4624372bd498a66df0b8c15/artifacts/pred.pkl
sp500,master,1,-0.00025069458530542076,-0.0019977554226648935,0.0016440513331440045,0.01246293544583994,0.11756541136234877,0.16041377051716948,-0.22738344695369805,0.6929117063440953,0.984505460947902,0.5170359273614519,752,examples/benchmarks/MASTER/paper_baseline/mlruns/228113011200315526/4b07045c0484425380911bfe5a7c561c/artifacts/pred.pkl
sp500,master,2,-0.0002445283595707329,-0.002102076015420659,0.003339420927232092,0.02687602942739457,0.09118323817105334,0.14844439370011328,-0.1795917802080822,0.5878473743625777,0.8047824756958614,0.5077250087136772,752,examples/benchmarks/MASTER/paper_baseline/mlruns/610202009334159606/cb7baa7d464d4fe3adc4f1c5235d4dab/artifacts/pred.pkl
sp500,master,3,-0.0020285604293799574,-0.01698898749098612,-0.0005397844305192627,-0.004255685963396616,0.11824750318835964,0.16072770599404476,-0.2167807979410845,0.6953544807491688,1.0239702712388503,0.5454703751966827,752,examples/benchmarks/MASTER/paper_baseline/mlruns/678903798120985225/7c951938b4394558ac68a202c6b16bad/artifacts/pred.pkl
sp500,master,4,0.00208727637111146,0.01583360399592192,0.0012705179178491384,0.009203084880209664,0.1355814947665106,0.15953394406878546,-0.1598965168647568,0.7969767855360007,1.1649806614955989,0.8479327594183164,752,examples/benchmarks/MASTER/paper_baseline/mlruns/511312566299574822/d6f094be7d2847d48ba98198401ce65a/artifacts/pred.pkl
