datetime,daily_ret_gross,cost,daily_ret_net,bench_ret,nav,bench_nav
2023-01-03,0.0,0.0,0.0,0.004202366,1.0,1.0042024
2023-01-04,0.0,0.0,0.0,0.0012989044,1.0,1.0055068
2023-01-05,0.0,0.0,0.0,0.019427538,1.0,1.0250412
2023-01-06,3.355671651661396e-16,0.0004745414467385787,-0.0004745414467382431,0.0031018257,0.9995254585532618,1.0282208
2023-01-09,0.0,0.0,0.0,0.008096099,0.9995254585532618,1.0365454
2023-01-10,0.0,0.0,0.0,0.0010839701,0.9995254585532618,1.037669
2023-01-11,0.0,0.0,0.0,-0.0018519163,0.9995254585532618,1.0357473
2023-01-12,0.0,0.0,0.0,0.0019550323,0.9995254585532618,1.0377722
2023-01-13,0.014807765800212236,0.0003419673479213533,0.014465798452290882,0.014064789,1.013984392384627,1.0523683
2023-01-16,0.0,0.0,0.0,0.015604854,1.013984392384627,1.0687903
2023-01-17,0.0,0.0,0.0,-0.00017404556,1.013984392384627,1.0686044
2023-01-18,0.0,0.0,0.0,-0.0016750693,1.013984392384627,1.0668144
2023-01-19,0.0,0.0,0.0,0.0062223673,1.013984392384627,1.0734526
2023-01-20,0.011582638493837014,0.00035352549004805605,0.011229113003788958,0.0061405897,1.0253705377107922,1.0800443
2023-01-30,0.0,0.0,0.0,0.0047398806,1.0253705377107922,1.0851636
2023-01-31,0.0,0.0,0.0,-0.010589421,1.0253705377107922,1.0736723
2023-02-01,0.0,0.0,0.0,0.009398818,1.0253705377107922,1.0837636
2023-02-02,0.0,0.0,0.0,-0.003522396,1.0253705377107922,1.0799462
2023-02-03,-0.014487233621878424,0.00032793201117121615,-0.01481516563304964,-0.009451985,1.0101795033593577,1.0697385
2023-02-06,0.0,0.0,0.0,-0.013219476,1.0101795033593577,1.0555971
2023-02-07,0.0,0.0,0.0,0.0017983913,1.0101795033593577,1.0574955
2023-02-08,0.0,0.0,0.0,-0.0044184327,1.0101795033593577,1.052823
2023-02-09,0.0,0.0,0.0,0.013424516,1.0101795033593577,1.0669566
2023-02-10,0.005527869373452972,0.0003320941008361316,0.00519577527261684,-0.0059431195,1.0154281690438165,1.0606155
2023-02-13,0.0,0.0,0.0,0.009073973,1.0154281690438165,1.0702395
2023-02-14,0.0,0.0,0.0,0.00041508675,1.0154281690438165,1.0706838
2023-02-15,0.0,0.0,0.0,-0.0052107573,1.0154281690438165,1.0651047
2023-02-16,0.0,0.0,0.0,-0.0073235035,1.0154281690438165,1.0573044
2023-02-17,-0.013482879845725541,0.00031543230379563257,-0.013798312149521173,-0.014408231,1.0014169742019332,1.0420705
2023-02-20,0.0,0.0,0.0,0.024533391,1.0014169742019332,1.067636
2023-02-21,0.0,0.0,0.0,0.0026273727,1.0014169742019332,1.0704411
2023-02-22,0.0,0.0,0.0,-0.009024322,1.0014169742019332,1.0607811
2023-02-23,0.0,0.0,0.0,-0.0008035302,1.0014169742019332,1.0599288
2023-02-24,0.015458311456424312,0.0003652249333628242,0.015093086523061489,-0.010380983,1.0165314472392253,1.0489256
2023-02-27,0.0,0.0,0.0,-0.0042378306,1.0165314472392253,1.0444804
2023-02-28,0.0,0.0,0.0,0.006335616,1.0165314472392253,1.0510979
2023-03-01,0.0,0.0,0.0,0.014124751,1.0165314472392253,1.0659443
