datetime,daily_ret_gross,cost,daily_ret_net,bench_ret,nav,bench_nav
2023-01-03,0.0,0.0,0.0,-0.0040005445,1.0,0.99599946
2023-01-04,0.0,0.0,0.0,0.0075389147,1.0,1.0035082
2023-01-05,0.0,0.0,0.0,-0.011645496,1.0,0.9918219
2023-01-06,-1.682201400399208e-16,0.00047499457618383633,-0.00047499457618400455,0.022840738,0.999525005423816,1.0144758
2023-01-09,0.0,0.0,0.0,-0.0007676482,0.999525005423816,1.013697
2023-01-10,0.0,0.0,0.0,0.0069782734,0.999525005423816,1.0207709
2023-01-11,0.0,0.0,0.0,0.01284945,0.999525005423816,1.0338873
2023-01-12,0.0,0.0,0.0,0.0034159422,0.999525005423816,1.037419
2023-01-13,0.020356820798699424,0.00035117243991691335,0.02000564835878251,0.003996849,1.019521151208135,1.0415654
2023-01-17,0.0,0.0,0.0,-0.0020304918,1.019521151208135,1.0394505
2023-01-18,0.0,0.0,0.0,-0.015562594,1.019521151208135,1.023274
2023-01-19,0.0,0.0,0.0,-0.007638335,1.019521151208135,1.0154579
2023-01-20,-0.0034497673953643878,0.0003607040445749049,-0.0038104714399392926,0.018918395,1.0156362949790425,1.0346687
2023-01-23,0.0,0.0,0.0,0.0118813515,1.0156362949790425,1.0469619
2023-01-24,0.0,0.0,0.0,-0.00071150064,1.0156362949790425,1.046217
2023-01-25,0.0,0.0,0.0,-0.00018173456,1.0156362949790425,1.0460268
2023-01-26,0.0,0.0,0.0,0.011007786,1.0156362949790425,1.0575413
2023-01-27,0.004788650647248008,0.0003418699733131893,0.0044467806739348185,0.002494812,1.0201526068273021,1.0601796
2023-01-30,0.0,0.0,0.0,-0.012968779,1.0201526068273021,1.0464303
2023-01-31,0.0,0.0,0.0,0.014642477,1.0201526068273021,1.0617527
2023-02-01,0.0,0.0,0.0,0.0104522705,1.0201526068273021,1.0728503
2023-02-02,0.0,0.0,0.0,0.01469934,1.0201526068273021,1.0886205
2023-02-03,-0.00535428312635681,0.000332205452279283,-0.005686488578636093,-0.0103545785,1.0143515206801128,1.0773484
2023-02-06,0.0,0.0,0.0,-0.0061404705,1.0143515206801128,1.070733
2023-02-07,0.0,0.0,0.0,0.0128724575,1.0143515206801128,1.0845159
2023-02-08,0.0,0.0,0.0,-0.011080742,1.0143515206801128,1.0724987
2023-02-09,0.0,0.0,0.0,-0.0088297725,1.0143515206801128,1.0630288
2023-02-10,0.010460118319373733,0.00034334421132938513,0.010116774108044348,0.002195239,1.0246134858809848,1.0653625
2023-02-13,0.0,0.0,0.0,0.011448622,1.0246134858809848,1.0775594
2023-02-14,0.0,0.0,0.0,-0.00028043985,1.0246134858809848,1.0772572
2023-02-15,0.0,0.0,0.0,0.0027731657,1.0246134858809848,1.0802445
2023-02-16,0.0,0.0,0.0,-0.01378876,1.0246134858809848,1.0653493
2023-02-17,-0.017036821397122322,0.0003139244428897686,-0.017350745840012092,-0.002767384,1.006835677703215,1.062401
2023-02-21,0.0,0.0,0.0,-0.020041287,1.006835677703215,1.0411092
2023-02-22,0.0,0.0,0.0,-0.001573503,1.006835677703215,1.039471
2023-02-23,0.0,0.0,0.0,0.0053293705,1.006835677703215,1.0450108
2023-02-24,-0.01808945559128538,0.000312570793660543,-0.01840202638494592,-0.010537505,0.9883078609968156,1.033999
2023-02-27,0.0,0.0,0.0,0.003072977,0.9883078609968156,1.0371764
2023-02-28,0.0,0.0,0.0,-0.0030360222,0.9883078609968156,1.0340275
2023-03-01,0.0,0.0,0.0,-0.004725218,0.9883078609968156,1.0291414
2023-03-02,0.0,0.0,0.0,0.0075821877,0.9883078609968156,1.0369446
2023-03-03,0.017389591640104226,0.00033131950403348547,0.01705827213607074,0.016147733,1.0051666854439172,1.0536889
2023-03-06,0.0,0.0,0.0,0.00068712234,1.0051666854439172,1.0544128
2023-03-07,0.0,0.0,0.0,-0.015326917,1.0051666854439172,1.038252
2023-03-08,0.0,0.0,0.0,0.0014147758,1.0051666854439172,1.0397209
2023-03-09,0.0,0.0,0.0,-0.01845932,1.0051666854439172,1.0205283
2023-03-10,-0.05383364786654368,0.0003181042374179341,-0.054151752103961615,-0.014478147,0.9507351482705975,1.0057529
2023-03-13,0.0,0.0,0.0,-0.0015097857,0.9507351482705975,1.0042344
2023-03-14,0.0,0.0,0.0,0.016476631,0.9507351482705975,1.0207808
2023-03-15,0.0,0.0,0.0,-0.006980896,0.9507351482705975,1.0136548
2023-03-16,0.0,0.0,0.0,0.017562032,0.9507351482705975,1.0314567
2023-03-17,-0.04645940128940422,0.0002916203040618049,-0.04675102159346602,-0.011019468,0.9062873088241317,1.0200906
2023-03-20,0.0,0.0,0.0,0.008918405,0.9062873088241317,1.0291882
2023-03-21,0.0,0.0,0.0,0.012982249,0.9062873088241317,1.0425494
2023-03-22,0.0,0.0,0.0,-0.01646322,0.9062873088241317,1.0253856
2023-03-23,0.0,0.0,0.0,0.0029845238,0.9062873088241317,1.028446
2023-03-24,0.007694215908381038,0.000308552707840536,0.0073856632005405015,0.0056397915,0.9129808416500309,1.0342462
2023-03-27,0.0,0.0,0.0,0.0016469955,0.9129808416500309,1.0359496
2023-03-28,0.0,0.0,0.0,-0.0015738606,0.9129808416500309,1.0343192
2023-03-29,0.0,0.0,0.0,0.014237285,0.9129808416500309,1.0490451
2023-03-30,0.0,0.0,0.0,0.005715251,0.9129808416500309,1.0550406
2023-03-31,0.042130024150617035,0.000354454902620469,0.041775569247996566,0.014436483,0.951121136022476,1.0702717
2023-04-03,0.0,0.0,0.0,0.0036988258,0.951121136022476,1.0742304
2023-04-04,0.0,0.0,0.0,-0.005796969,0.951121136022476,1.0680032
2023-04-05,0.0,0.0,0.0,-0.0024923086,0.951121136022476,1.0653414
2023-04-06,-0.0003279816022976182,0.00031992772467287224,-0.0006479093269704905,0.0035791397,0.9505048957673684,1.0691544
2023-04-10,0.0,0.0,0.0,0.0009963512,0.9505048957673684,1.0702196
2023-04-11,0.0,0.0,0.0,-4.1365623e-05,0.9505048957673684,1.0701754
2023-04-12,0.0,0.0,0.0,-0.004134953,0.9505048957673684,1.0657502
2023-04-13,0.0,0.0,0.0,0.013262749,0.9505048957673684,1.079885
2023-04-14,0.014412098442442704,0.00034266528640402915,0.014069433156038674,-0.002069354,0.9638779608628549,1.0776503
2023-04-17,0.0,0.0,0.0,0.0033061504,0.9638779608628549,1.0812132
2023-04-18,0.0,0.0,0.0,0.00085520744,0.9638779608628549,1.082138
2023-04-19,0.0,0.0,0.0,-8.428097e-05,0.9638779608628549,1.0820467
2023-04-20,0.0,0.0,0.0,-0.005952537,0.9638779608628549,1.0756059
2023-04-21,0.007951894915136315,0.000337810225554465,0.00761408468958185,0.0009032488,0.9712170092872862,1.0765774
2023-04-24,0.0,0.0,0.0,0.00085151196,0.9712170092872862,1.0774941
